Id,Project_Name,Project_Name_Link,Image_Link,Image_Link_Name,Project_Location,Project_Location_Redirect_Line,Price_Range,Built_Up_Area,EMI,Rera,Marketed_by,Owner_name,Owner_link,Owner_type,Description,NearBy_Facility
1,1 BHK Apartment,https://housing.com/in/buy/resale/page/4601833-1-bhk-apartment-in-new-panvel-east-for-rs-4700000,https://is1-2.housingcdn.com/01c16c28/7a8fed6318e179478937ca142c0b63d2/v0/medium/1_bhk_apartment-for-sale-new_panvel_east_1-Navi+Mumbai.jpg,Gallery Cover Image of 550 Sq.ft 1 BHK Apartment for buy in New Panvel East for 4700000,"Sai Chs, Sector 10, New Panvel East",https://housing.com/in/buy/mumbai/new_panvel_east_1,₹47.0 L,550 sq.ft,EMI starts at ₹29.31 K,None,None,Mahesh Patil,https://housing.com/agents/search-Ak66krn4myx3gpvlapklk8dwb2,Housing Prime Agent,"A north-East facing 1 bhk resale flat is available in the promising locality of sector-11 new panvel new panvel panvel, mumbai navi. It is a ready to move in spacious flat and is located on the 2nd fl","{'N_Id': 1, 'Name': ['None']}"
2,3 BHK Villa,https://housing.com/in/buy/resale/page/4684140-3-bhk-villa-in-new-panvel-east-for-rs-14000000,https://is1-3.housingcdn.com/01c16c28/8c142ae3495209a5ef4c928189aa6bb0/v0/medium/3_bhk_villa-for-sale-new_panvel_east_1-Navi+Mumbai.jpg,Gallery Cover Image of 2200 Sq.ft 3 BHK Villa for buy in New Panvel East for 14000000,"Samarth villa , Sector 19, New Panvel East",https://housing.com/in/buy/mumbai/new_panvel_east_1,₹1.4 Cr,2200 sq.ft,EMI starts at ₹81.85 K,None,None,Suraj Palkar,https://housing.com/agents/search-Ag3gmmlzjtxek1o6mzqex6u07w,Housing Prime Agent,"3 BHK Villa available for sale in Near Fire Station, Sector-18, New Panvel., New Panvel East, New Panvel East, Mumbai. Available amenities are: Kids area. Villa has 3 bedroom, 3 bathroom. It is 15 yea","{'N_Id': 2, 'Name': ['None']}"
3,Tricity Luxuria,https://housing.com/in/buy/projects/page/49944-tricity-luxuria-by-tricity-reality-llp-in-greater-khanda,https://is1-3.housingcdn.com/4f2250e8/04c2b7ca6ad792f69d0cdce19e95471a/v0/medium/tricity_luxuria-new_panvel-mumbai-tricity_reality_llp.jpg,Gallery Cover Pic of Tricity Luxuria,"Sector 17, Panvel, Navi Mumbai",https://housing.com/in/buy/mumbai/greater_khanda,₹57.3 L - 64.9 L,1 BHK Apartment,EMI starts at ₹40.48 K,RERA,Marketed by P & P HOMES,P & P HOMES,https://housing.com/in/buy/agent/6236444_pushpak_patil,Agent + 2 more,This luxurious G + 14 storeyed tower with 2 Wings comprising of premium 1 BHK and 2 BHK Pond and Highway facing apartments is a beautiful blend of modern-day living and a touch of nature. Tricity,"{'N_Id': 3, 'Name': ['None']}"
4,Neelkanth Suryoday,https://housing.com/in/buy/projects/page/116664-neelkanth-suryoday-by-neelkanth-constructions-in-karanjade,https://is1-3.housingcdn.com/4f2250e8/11b1181e9cd38b4366e545bf5e217570/v0/medium/neelkanth_suryoday-karanjade-mumbai-neelkanth_constructions.jpeg,Gallery Cover Pic of Neelkanth Suryoday,"Karanjade, Navi Mumbai",https://housing.com/in/buy/mumbai/karanjade,₹50 L - 75 L,"1, 2 BHK Apartments",EMI starts at ₹46.77 K,RERA,By Neelkanth Constructions,Neelkanth Constructions,https://housing.com/in/buy/builders/1357626_neelkanth_constructions,Developer,"Situated in Navi Mumbai at Karanjade, Neelkanth Suryoday is a residential development launched by Neelkanth Constructions. This project provides a vast range of amenities including Lift and Gated Comm","{'N_Id': 4, 'Name': ['None']}"
5,Hiranandani Fortune City,https://housing.com/in/buy/projects/page/38374-hiranandani-fortune-city-by-hiranandani-communities-in-panvel,https://is1-3.housingcdn.com/4f2250e8/aaaf0201f4a7636b3ccf435233b3b5e6/v0/medium/hiranandani_fortune_city-panvel-mumbai-hiranandani_communities.jpg,Gallery Cover Pic of Hiranandani Fortune City,"Panvel, Navi Mumbai",https://housing.com/in/buy/mumbai/panvel,₹54.0 L - 1.9 Cr,"Studio, 1, 1.5, 2, 3 BHK Apartment, Studio Apartments",EMI starts at ₹1.11 Lacs,None,By Hiranandani Communities,Hiranandani Communities,https://housing.com/in/buy/builders/1153473_hiranandani_communities,Developer + 6 more,"Hiranandani Fortune City, Panvel, is an integrated and self-sufficient township nestled in the lap of nature. This mega township of the future is equipped with affordable lifestyle amenities, reliable","{'N_Id': 5, 'Name': ['None']}"
6,Paradise Group Sai World City,https://housing.com/in/buy/projects/page/33720-paradise-group-sai-world-city-by-paradise-group-in-panvel,https://is1-3.housingcdn.com/4f2250e8/cca3467c4ca896680024be7a22bc5b52/v6/medium/paradise_group_sai_world_city-palaspe_phata-mumbai-paradise_group.jpg,Gallery Cover Pic of Paradise Group Sai World City,"Panvel, Navi Mumbai",https://housing.com/in/buy/mumbai/panvel,₹1.07 Cr - 2.65 Cr,"2, 2.5, 3, 4 BHK Apartments",EMI starts at ₹1.55 Lacs,RERA,Marketed by DSP Realty,DSP Realty,https://housing.com/in/buy/agent/6142445_dsp_realty,Agent + 3 more,"Embark upon a journey to a new world emerging of the megacity Panvel that invites the whole world home at Sai World City. Where quality of life is at its peak, where serene green environs compliment t","{'N_Id': 6, 'Name': ['None']}"
7,Balaji Symphony,https://housing.com/in/buy/projects/page/5181-balaji-symphony-by-vishesh-group-in-shilottar-raichur,https://is1-2.housingcdn.com/4f2250e8/3848201558c94b34abe9b29985a1dc1e/v0/medium/balaji_symphony-panvel-mumbai-vishesh_group.jpg,Gallery Cover Pic of Balaji Symphony,"New Panvel, Navi Mumbai",https://housing.com/in/buy/mumbai/palidevad,₹82 L - 1.2 Cr,"2, 2.5, 3 BHK Apartments",EMI starts at ₹70.16 K,RERA,Marketed by Horizon Real Estate,Horizon Real Estate,https://housing.com/in/buy/agent/2882304_horizon_real_estate,Agent + 6 more,"Project by ""Vishesh Group"" &amp; Marketed By ""Space India Builders and Developers"". This RERA id P52000001043 is for Balaji Symphony. This RERA id P52000000754 is for Balaji Symphony phase 2. Thi","{'N_Id': 7, 'Name': ['None']}"
8,1 RK Apartment,https://housing.com/in/buy/resale/page/4607904-1-rk-apartment-in-new-panvel-east-for-rs-3200000,https://is1-3.housingcdn.com/01c16c28/e4f7b85c701a21ff864a6bf73be71c31/v0/medium/1_rk_apartment-for-sale-new_panvel_east_1-Navi+Mumbai-kitchen.jpg,Gallery Cover Image of 328 Sq.ft 1 RK Apartment for buy in New Panvel East for 3200000,"Sector-9, New Panvel East",https://housing.com/in/buy/mumbai/new_panvel_east_1,₹32.0 L,328 sq.ft,EMI starts at ₹19.96 K,None,None,Unnati Real Estate,https://housing.com/agents/search-Ajnrssjkmjwvjxq7jhzcven98j,Housing Prime Agent,Guru krupa chs sector 9 new panvel,"{'N_Id': 8, 'Name': ['None']}"
9,1 BHK Apartment,https://housing.com/in/buy/resale/page/4639799-1-bhk-apartment-in-new-panvel-east-for-rs-3950000,https://is1-2.housingcdn.com/01c16c28/9b08b269a04530018b31759f2e2a7bac/v0/medium/1_bhk_apartment-for-sale-new_panvel_east_1-Navi+Mumbai-building_view.jpg,Gallery Cover Image of 550 Sq.ft 1 BHK Apartment for buy in New Panvel East for 3950000,"River side, Sector 11, New Panvel East",https://housing.com/in/buy/mumbai/new_panvel_east_1,₹39.5 L,550 sq.ft,EMI starts at ₹24.63 K,None,None,Union Properties,https://housing.com/agents/search-Ahuynheqmkw526i811qn4qt4nr,Housing Prime Agent,"1 BHK Apartment available for sale in , New Panvel East, New Panvel East, Mumbai. Apartment has 1 bedroom, 1 bathroom. Building has 5 floors.","{'N_Id': 9, 'Name': ['None']}"
10,2 BHK Apartment,https://housing.com/in/buy/resale/page/4566943-2-bhk-apartment-in-new-panvel-east-for-rs-6500000,//c.housingcdn.com/s/assets/property-fallback.6d3e2abe.png,Gallery Cover Image of 825 Sq.ft 2 BHK Apartment for buy in New Panvel East for 6500000,"MARUTI NIWASCHS PLOT NO B 37 SECTOR 6, Sector 6, New Panvel East",https://housing.com/in/buy/mumbai/new_panvel_east_1,₹65.0 L,825 sq.ft,EMI starts at ₹40.54 K,None,None,Land One Realtors,https://housing.com/agents/search-Ab0pa1681rursfvoqni2rh84vq,Housing Prime Agent,"2 BHK Apartment available for sale in , New Panvel East, New Panvel East, Mumbai. Apartment has 2 bedroom, 2 bathroom. It is 16 years old. Building has 6 floors.","{'N_Id': 10, 'Name': ['None']}"
