Id,Project_Name,Project_Name_Link,Image_Link,Image_Link_Name,Project_Location,Project_Location_Redirect_Line,Price_Range,Built_Up_Area,EMI,Rera,Marketed_by,Owner_name,Owner_link,Owner_type,Description,NearBy_Facility
1,2 BHK Apartment,https://housing.com/in/buy/resale/page/4490077-2-bhk-apartment-in-kalyan-west-for-rs-4700000,https://is1-2.housingcdn.com/01c16c28/77448c05a9f38e34d71bbe81c3988acf/v0/medium/2_bhk_apartment-for-sale-kalyan_west-Beyond+Thane.jpg,Gallery Cover Image of 990 Sq.ft 2 BHK Apartment for buy in Kalyan West for 4700000,"Royce Galaxi, Kalyan West, Beyond Thane",https://housing.com/in/buy/mumbai/kalyan_west,₹47.0 L,990 sq.ft,EMI starts at ₹29.31 K,None,None,Home Land Realtors,https://housing.com/agents/search-Aapv5t4i0thdpltr7m99rks1hb,Housing Prime Agent,"An east facing 2 bhk apartment in kalyan (West), mumbai beyond thane is available for sale. This property is a part of royce galaxy chs. The built-Up area for the same is 990 sq. Ft. The apartment is ","{'N_Id': 1, 'Name': ['ATM', 'Security Guards', 'Utility Shops', 'Lift']}"
2,1 BHK Apartment,https://housing.com/in/buy/resale/page/2190868-1-bhk-apartment-in-dombivli-east-for-rs-3000000,https://is1-2.housingcdn.com/01c16c28/882d6a687ba68958c9d667ee411497f0/v0/medium/1_bhk_apartment-for-sale-kalyan_east-Beyond+Thane.jpg,Gallery Cover Image of 385 Sq.ft 1 BHK Apartment for buy in Kalyan East for 3000000,"Kaveri (Lok Gram), Kalyan East, Beyond Thane",https://housing.com/in/buy/mumbai/kalyan_east,₹30.0 L,385 sq.ft,EMI starts at ₹18.71 K,None,None,Jayawant Jadhav,https://housing.com/agents/search-Afmoz5cb2blx3a9sj9kl97zizw,Housing Prime Agent,"1 BHK Apartment available for sale in Kalyan East, Dombivli East, Dombivli East, Mumbai. Apartment has 1 bedroom, bathroom. It is 18 years old. Building has 4 floors.","{'N_Id': 2, 'Name': ['24x7 Security', 'ATM', 'Fire Fighting Systems']}"
3,Regency Anantam Phase II,https://housing.com/in/buy/projects/page/144908-regency-anantam-phase-ii-by-regency-group-in-dombivli-east,https://is1-2.housingcdn.com/4f2250e8/aae0b6c607e4314c721d1f13c4bcc9b0/v0/medium/regency_anantam_phase_ii-dombivli_east-mumbai-regency_group.jpeg,Gallery Cover Pic of Regency Anantam Phase II,"Dombivli East, Beyond Thane",https://housing.com/in/buy/mumbai/dombivli_east,₹41.0 L - 61.18 L,"1, 2 BHK Apartments",EMI starts at ₹38.15 K,RERA,Marketed by Golden Keys,Golden Keys,https://housing.com/in/buy/agent/7010676_golden_keys,Agent + 7 more,Anantam Phase is one of the upcoming real estate project developed by Regency Group located in the Dombivali in Mumbai. This is one of the premium residential project developed in this area. The devel,"{'N_Id': 3, 'Name': ['None']}"
4,Swanand Bliss,https://housing.com/in/buy/projects/page/130118-swanand-bliss-by-swanand-group-in-kailash-colony,https://is1-2.housingcdn.com/4f2250e8/ec64ca71b7f63691b45b66e83bde199a/v0/medium/swanand_bliss-ambernath_east-mumbai-swanand_group.jpeg,Gallery Cover Pic of Swanand Bliss,"Ambernath East, Beyond Thane",https://housing.com/in/buy/mumbai/ambernath_east,₹23.9 L - 52.2 L,"1, 2, 3 BHK Apartments",EMI starts at ₹32.55 K,RERA,By Swanand Group,Swanand Group,https://housing.com/in/buy/builders/4339930_swanand_group,Developer,"Swanand Bliss is located in Pale, Ambernath, located just 12 minutes drive away from the Ambernath Station and hardly a 03 minute drive from the Ambernath to Mumbai highway, just 05 minutes drive from","{'N_Id': 4, 'Name': ['None']}"
5,Riviera Phase I,https://housing.com/in/buy/projects/page/229621-riviera-phase-i-by-poddar-housing-in-khemani-industry-area,https://is1-3.housingcdn.com/4f2250e8/4182fbb4bfd503581231ce812faad386/v0/medium/riviera_phase_i-kalyan_west-mumbai-poddar_housing.jpg,Gallery Cover Pic of Riviera Phase I,"Khemani Industry Area, Beyond Thane",https://housing.com/in/buy/mumbai/khemani_industry_area,₹32.5 L - 53 L,"1, 1.5, 2 BHK Apartments",EMI starts at ₹33.05 K,RERA,Marketed by Headways Realty,Headways Realty,https://housing.com/in/buy/agent/6428247_headways_realty,Agent + 3 more,None,"{'N_Id': 5, 'Name': ['None']}"
6,Asha Icon Live An Iconic Life,https://housing.com/in/buy/projects/page/96378-asha-icon-live-an-iconic-life-by-ashapura-global-projects-in-dombivli-east,https://is1-3.housingcdn.com/4f2250e8/3def919228b02e7fc3f93774d97f52c4/v0/medium/asha_icon_live_an_iconic_life-dombivli_east-mumbai-ashapura_global_projects.jpeg,Gallery Cover Pic of Asha Icon Live An Iconic Life,"Dombivli East, Beyond Thane",https://housing.com/in/buy/mumbai/dombivli_east,₹37.25 L - 53.22 L,"1, 2 BHK Apartments",EMI starts at ₹33.19 K,RERA,By Ashapura Global Projects,Ashapura Global Projects,https://housing.com/in/buy/builders/2868593_ashapura_global_projects,Developer,Ashapura Asha Icon is a project by Ashapura Global Projects and consists of 2 and 3 BHK apartments at Dombivali in Mumbai. The houses range from 441 square foot to 567 square foot with one building th,"{'N_Id': 6, 'Name': ['None']}"
7,Yashraj Paradise,https://housing.com/in/buy/projects/page/230778-yashraj-paradise-by-yash-infra-kalyan-in-chinchpada-gaon,https://is1-3.housingcdn.com/4f2250e8/5816e970d4048d5a11bdd1b10e4ee2b5/v0/medium/yashraj_paradise-kalyan_east-mumbai-yash_infra_kalyan.jpeg,Gallery Cover Pic of Yashraj Paradise,"Kalyan East, Beyond Thane",https://housing.com/in/buy/mumbai/kalyan_east,₹42 L - 62 L,"1, 2 BHK Apartments",EMI starts at ₹38.67 K,RERA,By Yash Infra Kalyan,Yash Infra Kalyan,https://housing.com/in/buy/builders/6743562_yash_infra_kalyan,Developer,"Kalyan East, Nandivali is a highly developing area of Kalyan Smart City. Yash Infra has launched it's new project ""Yashraj Paradise"" which is located in the heart of the city on 100 feet Shree Malang ","{'N_Id': 7, 'Name': ['None']}"
8,1 BHK Apartment,https://housing.com/in/buy/resale/page/4405352-1-bhk-apartment-in-kalyan-west-for-rs-2999000,//c.housingcdn.com/s/assets/badge.fbe4ad08.png,Prime User,"Vaibhavi City B 2 by Vaibhavi Developers Thane, Kalyan West, Beyond Thane",https://housing.com/in/buy/mumbai/kalyan_west,₹29.99 L,650 sq.ft,EMI starts at ₹18.70 K,None,None,Home Land Realtors,https://housing.com/agents/search-Aapv5t4i0thdpltr7m99rks1hb,Housing Prime Agent,"1 BHK Apartment available for sale in K M College Gandharik Road Khadak Pada Kalyan West., Kalyan West, Kalyan West, Mumbai. Available amenities are: Gym, Garden, Kids area, Lift. Apartment has 1 park","{'N_Id': 8, 'Name': ['24x7 Security', 'Power Backup', 'Vitrified Balcony', 'School Proximity']}"
9,Davakhar Elegance,https://housing.com/in/buy/projects/page/113644-davakhar-elegance-by-davakhar-infrastructure-pvt-ltd-in-nandivali-gaon,https://is1-2.housingcdn.com/0b8ad14c/11c9b379c3bf9d5bf77472871f059552/v0/thumb.jpg,DI,"Kalyan East, Beyond Thane",https://housing.com/in/buy/mumbai/kalyan_east,₹65.51 L,2 BHK Apartment,EMI starts at ₹40.86 K,RERA,By Davakhar Infrastructure Pvt Ltd.,Davakhar Infrastructure Pvt Ltd.,https://housing.com/in/buy/builders/3186127_davakhar_infrastructure_pvt_ltd,Developer,The world looks up to those who have the power to turn their ambitions into achievements. It is only such pioneering and inspiring individuals who are entitled to life's exclusive privileges that,"{'N_Id': 9, 'Name': ['None']}"
10,2 BHK Apartment,https://housing.com/in/buy/resale/page/2009791-2-bhk-apartment-in-kalyan-east-for-rs-7550000,https://is1-2.housingcdn.com/01c16c28/39ae0f836e1b4b261e96630a4d90837e/v2/medium/2_bhk_apartment-for-sale-kalyan_east-Beyond+Thane.jpg,Gallery Cover Image of 1060 Sq.ft 2 BHK Apartment for buy in Kalyan East for 7550000,"West Pioneer Metro Residency, Kalyan East, Beyond Thane",https://housing.com/in/buy/mumbai/kalyan_east,₹75.5 L,1060 sq.ft,EMI starts at ₹44.14 K,None,None,Jayawant Jadhav,https://housing.com/agents/search-Afmoz5cb2blx3a9sj9kl97zizw,Housing Prime Agent,"2 BHK Apartment available for sale in Kalyan Shilphata Road, Near Metro Junction Mall, Netivli, Kalyan East, Kalyan East, Mumbai. Available amenities are: Garden, Kids area, Lift. Apartment has 2 bedr","{'N_Id': 10, 'Name': ['24x7 Security', 'Basketball Court', 'Gymnasium', 'Swimming Pool']}"
