Id,Project_Name,Project_Name_Link,Image_Link,Image_Link_Name,Project_Location,Project_Location_Redirect_Line,Price_Range,Built_Up_Area,EMI,Rera,Marketed_by,Owner_name,Owner_link,Owner_type,Description,NearBy_Facility
1,Godrej Exquisite,https://housing.com/in/buy/projects/page/232014-godrej-exquisite-by-godrej-properties-ltd-in-thane-west,https://is1-3.housingcdn.com/4f2250e8/245fdbf07a933e141aef60b9ca36866b/v0/medium/godrej_exquisite-thane_west-mumbai-godrej_properties_ltd.jpeg,Gallery Cover Pic of Godrej Exquisite,"Thane West, Thane",https://housing.com/in/buy/mumbai/thane_west,₹1.17 Cr - 1.75 Cr,"2, 3 BHK Apartments",EMI starts at ₹1.02 Lacs,RERA,Marketed by SMC REAL ESTATE,SMC REAL ESTATE,https://housing.com/in/buy/agent/7268880_smc_real_estate,Agent + 17 more,.,"{'N_Id': 1, 'Name': ['None']}"
2,3 BHK Apartment,https://housing.com/in/buy/resale/page/4604010-3-bhk-apartment-in-thane-west-for-rs-13700000,https://is1-3.housingcdn.com/01c16c28/8932dbf014b3b45d1ac8e5cfc28edab5/v0/medium/3_bhk_apartment-for-sale-thane_west-Thane-building_view.jpg,Gallery Cover Image of 1260 Sq.ft 3 BHK Apartment for buy in Thane West for 13700000,"Orovia Phase 1, Thane West, Thane",https://housing.com/in/buy/mumbai/thane_west,₹1.37 Cr,1260 sq.ft,EMI starts at ₹80.10 K,None,None,Viren Shah,https://housing.com/agents/search-Acfnbb45osi0twrl8pm3vt01tc,Housing Prime Agent,"Highlights of Orovia Phase 1.
4 towers of 27 habitable floors each,
Basement 1, Ground Podium, 1 st Podium, Recreation floor at Stilt level,
Individual tower placement facilitates better surrounding v","{'N_Id': 2, 'Name': ['Children Play Area', 'Gymnasium', 'Indoor Game Room', 'Swimming Pool']}"
3,Rosa Manhattan,https://housing.com/in/buy/projects/page/131568-rosa-manhattan-by-rosa-group-in-hiranandani-estate,https://is1-3.housingcdn.com/4f2250e8/0195649baec925dadaf6c76eb0115785/v0/medium/rosa_manhattan-hiranandani_estate-mumbai-rosa_group.jpg,Gallery Cover Pic of Rosa Manhattan,"Hiranandani Estate, Thane",https://housing.com/in/buy/mumbai/hiranandani_estate,₹1.17 Cr - 1.55 Cr,"2, 3 BHK Apartments",EMI starts at ₹90.62 K,None,Marketed by Seeds Realty Investments,Seeds Realty Investments,https://housing.com/in/buy/agent/3553664_seed_realty_investments,Agent + 1 more,"P51700001707P51700013323Manhattan is contemporary amidst the classic. Aristocracy blended with the flavor of finesse. Manhattan is an erupting epicentre of fine living, commercial activit","{'N_Id': 3, 'Name': ['None']}"
4,2 BHK Apartment,https://housing.com/in/buy/resale/page/4628768-2-bhk-apartment-in-thane-west-for-rs-9500000,https://is1-2.housingcdn.com/01c16c28/d0010473de86125ee9bbf388cbd24810/v0/medium/2_bhk_apartment-for-sale-thane_west-Thane.jpg,Gallery Cover Image of 1051 Sq.ft 2 BHK Apartment for buy in Thane West for 9500000,"Lodha Splendora, Thane West, Thane",https://housing.com/in/buy/mumbai/thane_west,₹95.0 L,1051 sq.ft,EMI starts at ₹55.54 K,None,None,Atmiya Properties,https://housing.com/agents/search-A1hhgcx4rs5nbnouwh9sqq8xip,Housing Prime Agent,"There are various amenities in Lodha Splendora with Power Backup, Cycling & Jogging Track, Gymnasium, Swimming Pool and Lift to name a few. Located close to prominent suburbs of Thane, the area of Mum","{'N_Id': 4, 'Name': ['Children Play Area', 'Gymnasium', 'Landscaped Garden', 'Swimming Pool']}"
5,2 BHK Apartment,https://housing.com/in/buy/resale/page/4563795-2-bhk-apartment-in-thane-west-for-rs-10300000,https://is1-2.housingcdn.com/01c16c28/90acb8777ef6751c59d07b58e6a19999/v0/medium/2_bhk_apartment-for-sale-thane_west-Thane-brochure.jpg,Gallery Cover Image of 1050 Sq.ft 2 BHK Apartment for buy in Thane West for 10300000,"Shree Tirupati Greenfield Marigold B Wing, Thane West, Thane",https://housing.com/in/buy/mumbai/thane_west,₹1.03 Cr,1050 sq.ft,EMI starts at ₹60.22 K,None,None,Viren Shah,https://housing.com/agents/search-Acfnbb45osi0twrl8pm3vt01tc,Housing Prime Agent,"Marigold is one of the perfect residential enclave by Shree Tirupati Group that offers homes filled with style, sophistication, comfort and contentment. Defining your status, this excellent blend of n","{'N_Id': 5, 'Name': ['Children Play Area', 'Gymnasium', 'Indoor Game Room', 'Swimming Pool']}"
6,1 BHK Apartment,https://housing.com/in/buy/resale/page/4572324-1-bhk-apartment-in-thane-west-for-rs-7000000,https://is1-2.housingcdn.com/01c16c28/31ea56e7541859bf8831187420bac429/v0/medium/1_bhk_apartment-for-sale-thane_west-Thane-living_room.jpg,Gallery Cover Image of 585 Sq.ft 1 BHK Apartment for buy in Thane West for 7000000,"Puraniks Kavya Dhara, Thane West, Thane",https://housing.com/in/buy/mumbai/thane_west,₹70.0 L,585 sq.ft,EMI starts at ₹43.66 K,None,None,D N Sabale,https://housing.com/agents/search-A2pi5ih56b7ucwo77h16101vd0,Housing Prime Agent,Good complex in prime location and malls are available for this location.,"{'N_Id': 6, 'Name': ['Children Play Area', 'Swimming Pool', 'Gymnasium', '24x7 Security']}"
7,3 BHK Apartment,https://housing.com/in/buy/resale/page/4563755-3-bhk-apartment-in-thane-west-for-rs-14300000,https://is1-2.housingcdn.com/01c16c28/90acb8777ef6751c59d07b58e6a19999/v0/medium/3_bhk_apartment-for-sale-thane_west-Thane-building_view.jpg,Gallery Cover Image of 1400 Sq.ft 3 BHK Apartment for buy in Thane West for 14300000,"Shree Tirupati Greenfield Marigold B Wing, Thane West, Thane",https://housing.com/in/buy/mumbai/thane_west,₹1.43 Cr,1400 sq.ft,EMI starts at ₹83.61 K,None,None,Viren Shah,https://housing.com/agents/search-Acfnbb45osi0twrl8pm3vt01tc,Housing Prime Agent,"Marigold is one of the perfect residential enclave by Shree Tirupati Group that offers homes filled with style, sophistication, comfort and contentment. Defining your status, this excellent blend of n","{'N_Id': 7, 'Name': ['Children Play Area', 'Gymnasium', 'Indoor Game Room', 'Swimming Pool']}"
8,2 BHK Apartment,https://housing.com/in/buy/resale/page/4567442-2-bhk-apartment-in-thane-west-for-rs-10800000,//c.housingcdn.com/s/assets/property-fallback.6d3e2abe.png,Gallery Cover Image of 928 Sq.ft 2 BHK Apartment for buy in Thane West for 10800000,"Rustomjee Urbania Aurelia, Thane West, Thane",https://housing.com/in/buy/mumbai/thane_west,₹1.08 Cr,928 sq.ft,EMI starts at ₹63.15 K,None,None,Pooja Sharma,https://housing.com/agents/search-Ahdbgbvl15jfip73gg79uf3wbw,Housing Prime Agent,"2 BHK Apartment available for sale in Rustomjee Aurelia Eastern Express Hwy, Majiwada, Junction, Thane West, Mumbai, Maharashtra 400601, Thane West, Thane West, Mumbai. Available amenities are: Gym, S","{'N_Id': 8, 'Name': ['Swimming Pool', 'Cycling & Jogging Track', 'Gymnasium', 'Rainwater Harvesting']}"
9,Ace Homes,https://housing.com/in/buy/projects/page/112973-ace-homes-by-ace-constructions-in-kasarvadavali-thane-west,https://is1-2.housingcdn.com/4f2250e8/369b01af4aaf5c2404b0738b0d0fe4f1/v0/medium/ace_homes-kasarvadavali-mumbai-ace_constructions.jpeg,Gallery Cover Pic of Ace Homes,"Kasarvadavali, Thane West, Thane",https://housing.com/in/buy/mumbai/kasarvadavali,₹60.63 L - 91.5 L,"1, 2 BHK Apartments",EMI starts at ₹53.50 K,RERA,Marketed by Just A Home,Just A Home,https://housing.com/in/buy/agent/7099576_just_a_home,Agent + 2 more,"Ace Homes is an upcoming housing project at Kasarvadavali, Thane West in Thane, being developed by Ace Constructions. Keeping in mind the needs of modern lifestyle of residents, the project provides v","{'N_Id': 9, 'Name': ['None']}"
10,Madhav Palacia Phase II,https://housing.com/in/buy/projects/page/670-madhav-palacia-phase-ii-by-madhav-shreeji-group-in-hiranandani-estate,https://is1-2.housingcdn.com/4f2250e8/f0769ae7a1f23873477441964d5515d8/v0/medium/madhav_palacia_phase_ii-thane_west-mumbai-madhav_shreeji_group.png,Gallery Cover Pic of Madhav Palacia Phase II,"Hiranandani Estate, Thane",https://housing.com/in/buy/mumbai/hiranandani_estate,₹1.03 Cr - 1.65 Cr,"2, 2.5, 3 BHK Apartments",EMI starts at ₹96.47 K,RERA,Marketed by Seeds Realty Investments,Seeds Realty Investments,https://housing.com/in/buy/agent/3553664_seed_realty_investments,Seller,This rera id P51700009592 is only for PALACIA PHASE-II .Palacia Phase II is a lavish project conceptualized and developed by Madhav-Shreeji Group in the  beautiful surroundings of Thane West. Brick by,"{'N_Id': 10, 'Name': ['None']}"
